030301,APURIMAC,ANTABAMBA,ANTABAMBA,233207,Huayjohuasi,HUAYJOHUASI,0,0,,,,,IGN,4190,-72.75318151,-14.44459604,-14.44459604-72.7531815099999
210211,PUNO,AZANGARO,SAN ANTON,125841,Japu Japu,JAPU JAPU,0,0,,2102110015,,2102110015,IGN,4495,-70.21875602,-14.44459091,-14.4445909099999-70.2187560199999
030403,APURIMAC,AYMARAES,CARAYBAMBA,120398,Palca,PALCA,0,0,,0304030010,,0304030010,IGN,4246,-73.09942514,-14.44444091,-14.44444091-73.0994251399999
050613,AYACUCHO,LUCANAS,OTOCA,118478,Trajin,TRAJIN,0,0,,0506130012,,0506130012,IGN,2335,-74.7033599,-14.44436192,-14.4443619199999-74.7033599
080701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,212957,Sayhuayoc,SAYHUAYOC,0,0,,,,,IGN,3652,-72.07470702,-14.44433978,-14.44433978-72.0747070199999
210209,PUNO,AZANGARO,POTONI,624771,Anansaya,ANANSAYA,0,0,,2102090055,,2102090055,INEI,4213,-70.052359309,-14.440693833,-14.440693833-70.0523593089999
010202,AMAZONAS,BAGUA,ARAMANGO,613408,Nuevo San Jose,NUEVO SAN JOSE,0,0,,,,,INEI,1199,-78.4003594,-5.44237689,-5.44237688999993-78.4003594
060812,CAJAMARCA,JAEN,SANTA ROSA,117541,Tomaque,TOMAQUE,0,1,P,0608120038,,0608120038,MED-GPS,838,-78.64635281,-5.43560753,-5.43560752999997-78.6463528099999
200803,PIURA,SECHURA,BERNAL,114788,Hacienda Santa Filomena,HACIENDA SANTA FILOMENA,0,0,,2008030007,,2008030007,IGN,11,-80.72553016,-5.44127264,-5.44127263999997-80.7255301599999
200805,PIURA,SECHURA,VICE,123985,San Pablo,SAN PABLO,0,0,,,,,IGN,0,-80.94187477,-5.44087477,-5.44087476999994-80.94187477
200805,PIURA,SECHURA,VICE,243361,Fundo Rio Frio,FUNDO RIO FRIO,0,0,,,,,IGN,12,-80.76834353,-5.4404939,-5.44049389999998-80.76834353
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,115515,El Paraiso,EL PARAISO,0,1,IP,0609040057,,0609040057,MED-GPS,1372,-78.96184693,-5.43546625,-5.43546624999993-78.96184693
010202,AMAZONAS,BAGUA,ARAMANGO,522627,Mirador,MIRADOR,0,0,,0102020044,,0102020044,IMG_SATELITAL,590,-78.46228563,-5.43697005,-5.43697004999996-78.4622856299999
200108,PIURA,PIURA,EL TALLAN,626089,Loma Blanca,LOMA BLANCA,0,0,,,,,INEI,35,-80.58287502,-5.43710352,-5.43710351999994-80.58287502
060812,CAJAMARCA,JAEN,SANTA ROSA,529422,Pindal,PINDAL,0,0,,,,,IGN,835,-78.64636066,-5.43658515,-5.43658514999993-78.64636066
060902,CAJAMARCA,SAN IGNACIO,CHIRINOS,229722,Cruce La Coypa,CRUCE LA COYPA,0,0,,,,,IGN,545,-78.8220689,-5.43645777,-5.43645776999995-78.8220689
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,625367,Las Cuevas,LAS CUEVAS,0,1,G,0609040036,,0609040036,MED-GPS,1346,-79.01100932,-5.38837695,-5.38837694999995-79.01100932
060811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,623693,La Union,LA UNION,0,1,IP,0608110002,,0608110002,MED-GPS,1047,-79.08415561,-5.48154016,-5.48154015999995-79.08415561
200110,PIURA,PIURA,LA UNION,614942,San Jose,SAN JOSE,0,1,I,,,,DRE/UGEL,15,-80.7376639,-5.39974927,-5.39974926999997-80.7376639
060802,CAJAMARCA,JAEN,BELLAVISTA,119197,Higuerones,HIGUERONES,0,0,,0608020009,,0608020009,MED-GPS,458,-78.76590496,-5.38701935,-5.38701934999995-78.7659049599999
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,516104,La Vega El Puente,LA VEGA EL PUENTE,0,0,,,,,IGN,1248,-79.00451552,-5.39738214,-5.39738213999993-79.00451552
